# Historical sovereign rating actions from S&P, Moody's, Fitch.
# Long format: one row per (iso3, as_of) tuple. Each row carries the
# rating from the agency that acted on that date; the other agencies'
# columns are blank (the loader treats blank as "no change", so the
# consensus_num that day reflects whichever agency moved). Sourced
# from countryeconomy.com (free, public). Append rows or run
# scripts/fetch_agency_history.py to extend coverage.
#
# Date format: YYYY-MM-DD or YYYY-MM. Outlook values: Stable, Positive,
# Negative, Watch, Under Review, RD (restricted default), or blank.
iso3,as_of,sp,moodys,fitch,sp_outlook,moodys_outlook,fitch_outlook
# ── Turkey ───────────────────────────────────────────────────────────────
TUR,2012-08-01,,,BB+,,,Stable
TUR,2013-03-27,BBB,,,Stable,,
TUR,2013-05-16,,Baa3,,,Stable,
TUR,2014-02-07,,,,Negative,,
TUR,2016-07-18,,Baa3,,,Watch,
TUR,2016-07-22,,,BBB-,,,Stable
TUR,2016-08-19,,,BBB-,,,Negative
TUR,2016-09-23,,Ba1,,,Stable,
TUR,2017-01-27,,,B,,,Stable
TUR,2017-03-17,,Ba1,,,Negative,
TUR,2018-03-07,,Ba2,,,Stable,
TUR,2018-05-01,BB,,,Stable,,
TUR,2018-06-01,,Ba2,,,Watch,
TUR,2018-07-13,,,B,,,Negative
TUR,2018-08-17,BB-,Ba3,,Stable,Negative,
TUR,2019-06-14,,B1,,,Negative,
TUR,2020-09-11,,B2,,,Negative,
TUR,2021-12-03,,B2,,,Negative,
TUR,2021-12-10,BB-,,,Negative,,
TUR,2022-02-11,,,B+,,,Negative
TUR,2022-04-01,B+,,,,,
TUR,2022-07-08,,,B,,,Negative
TUR,2022-08-12,,B3,,,Stable,
TUR,2022-09-30,B,,,Stable,,
TUR,2023-03-31,B,,,Negative,,
TUR,2023-09-29,B,,,Stable,,
TUR,2023-11-30,B,,,Positive,,
TUR,2024-01-12,,B3,,,Positive,
TUR,2024-05-03,B+,,,Positive,,
TUR,2024-07-19,,B1,,,Positive,
TUR,2024-11-01,BB-,,,Stable,,
TUR,2025-07-25,,Ba3,,,Stable,
# ── Romania snapshot used by the agency_ratings.csv loader ───────────────
# (older quarterly snapshots remain in agency_ratings.csv)
# ── United States (reference) ────────────────────────────────────────────
USA,2011-08,AA+,Aaa,AAA,Negative,Stable,Stable
USA,2013-03,AA+,Aaa,AAA,Stable,Stable,Stable
USA,2023-08,AA+,Aaa,AA+,Stable,Stable,Stable
USA,2024-11,AA+,Aaa,AA+,Stable,Negative,Stable
