# Sovereign default / restructuring events from the Bank of Canada CRAG
# database. Auto-generated by scripts/fetch_crag_defaults.py.
# Schema matches what backend/credit_default/defaults.py expects.
iso3,start_year,end_year,event_type,instrument,source,notes
BGD,2023,,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BGD,1990,1991,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BGD,1995,1995,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BGD,2023,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BRB,2018,2020,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BRB,2018,2019,default,external_bond,CRAG,BoC creditor: FC bonds
BRB,2022,2022,default,external_bond,CRAG,BoC creditor: FC bonds
BRB,2018,2019,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
BRB,2018,2018,default,domestic,CRAG,BoC creditor: LC debt
BRB,2022,2022,default,domestic,CRAG,BoC creditor: LC debt
BRB,1989,1998,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BRB,2000,2000,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BRB,2002,2006,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BRB,2013,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BLR,2022,,paris_club,paris_club,CRAG,BoC creditor: Paris Club
BLR,2009,2009,paris_club,paris_club,CRAG,BoC creditor: China
BLR,2020,2020,paris_club,paris_club,CRAG,BoC creditor: China
BLR,2022,,paris_club,paris_club,CRAG,BoC creditor: China
BLR,1993,1993,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BLR,1995,2005,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BLR,2022,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BLR,2022,,default,external_bond,CRAG,BoC creditor: FC bonds
BLR,1993,2019,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BLR,2022,,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BLR,1995,2005,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BLR,2022,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
BLZ,1981,1997,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BLZ,2001,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
BLZ,2006,2007,default,external_bond,CRAG,BoC creditor: FC bonds
BLZ,2012,2013,default,external_bond,CRAG,BoC creditor: FC bonds
BLZ,2016,2017,default,external_bond,CRAG,BoC creditor: FC bonds
BLZ,2021,2021,default,external_bond,CRAG,BoC creditor: FC bonds
BLZ,1983,1995,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
BLZ,1999,1999,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
